task,model,metric,value
skin_splits,mobilenetv2_050,nleep_score,-0.4672702480969304
skin_splits,mobilenetv2_050,gbc_score,-1.0338864995236716
skin_splits,mobilenetv2_050,reg_hscore_score,0.39199665712981674
skin_splits,mobilenetv2_050,hscore_score,0.39809652364854464
skin_splits,mobilenetv2_050,logme_score,-0.36228551559468736
skin_splits,resnet18,nce_score,-0.4614454242185753
skin_splits,resnet18,leep_score,-0.4727450708931654
skin_splits,resnet18,nleep_score,-0.4678580009115896
skin_splits,resnet18,gbc_score,-0.9707296140380764
skin_splits,resnet18,reg_hscore_score,0.3297070051406589
skin_splits,resnet18,hscore_score,0.3310080697427309
skin_splits,resnet18,logme_score,-0.3684322607583563
skin_splits,resnet34,nce_score,-0.4732734344405678
skin_splits,resnet34,leep_score,-0.48286730213333895
skin_splits,resnet34,nleep_score,-0.4688190270063845
skin_splits,resnet34,gbc_score,-1.016755331422137
skin_splits,resnet34,reg_hscore_score,0.30766556014413876
skin_splits,resnet34,hscore_score,0.3090497703288867
skin_splits,resnet34,logme_score,-0.3889631882792982
skin_splits,efficientnet_b0,nce_score,-0.4678638962629847
skin_splits,efficientnet_b0,leep_score,-0.4816206415555304
skin_splits,efficientnet_b0,nleep_score,-0.46386673702301423
skin_splits,efficientnet_b0,gbc_score,-1.031458766963858
skin_splits,efficientnet_b0,reg_hscore_score,0.4088391128335169
skin_splits,efficientnet_b0,hscore_score,0.4122511561490528
skin_splits,efficientnet_b0,logme_score,-0.3533128568716992
skin_splits,resnet50,nce_score,-0.4789999792748998
skin_splits,resnet50,leep_score,-0.48197964263571624
skin_splits,resnet50,nleep_score,-0.4749712577075517
skin_splits,resnet50,gbc_score,-1.070546252682845
skin_splits,resnet50,reg_hscore_score,0.4315928729579792
skin_splits,resnet50,hscore_score,0.4434633576256283
skin_splits,resnet50,logme_score,-0.36222178347282075
skin_splits,vit_small_patch16_224,nce_score,-0.4900824072693312
skin_splits,vit_small_patch16_224,leep_score,-0.4901321129836028
skin_splits,vit_small_patch16_224,nleep_score,-0.4680830002906262
skin_splits,vit_small_patch16_224,gbc_score,-1.0041727991749148
skin_splits,vit_small_patch16_224,reg_hscore_score,0.3676402366950056
skin_splits,vit_small_patch16_224,hscore_score,40.44771098718047
skin_splits,vit_small_patch16_224,logme_score,-0.3325433313568229
brain_tumor_kaggle,densenet169,nce_score,-1.1549442887650012
brain_tumor_kaggle,densenet169,leep_score,-1.1643259975580948
brain_tumor_kaggle,densenet169,nleep_score,-0.7011455408174214
brain_tumor_kaggle,densenet169,gbc_score,-1.5163087511945603
brain_tumor_kaggle,densenet169,reg_hscore_score,2.4462093543085577
brain_tumor_kaggle,densenet169,hscore_score,2.8580760438841755
brain_tumor_kaggle,densenet169,logme_score,-0.033641258113054295
brain_tumor_kaggle,densenet161,nce_score,-1.0970296942850717
brain_tumor_kaggle,densenet161,leep_score,-1.1384531778192484
brain_tumor_kaggle,densenet161,nleep_score,-0.659457677770064
brain_tumor_kaggle,densenet161,gbc_score,-1.5037252549243605
brain_tumor_kaggle,densenet161,reg_hscore_score,2.5284100130837186
brain_tumor_kaggle,densenet161,hscore_score,2.6971832985202187
brain_tumor_kaggle,densenet161,logme_score,-0.008223263879385899
brain_tumor_kaggle,densenet121,nce_score,-1.0805488687824516
brain_tumor_kaggle,densenet121,leep_score,-1.187969695176284
brain_tumor_kaggle,densenet121,nleep_score,-0.7522455548584555
brain_tumor_kaggle,densenet121,gbc_score,-1.660661081716055
brain_tumor_kaggle,densenet121,reg_hscore_score,2.4639125113699296
brain_tumor_kaggle,densenet121,hscore_score,2.6058427022898045
brain_tumor_kaggle,densenet121,logme_score,-0.04476560253946635
brain_tumor_kaggle,mobilenetv2_100,nce_score,-1.1016662315166987
brain_tumor_kaggle,mobilenetv2_100,leep_score,-1.2122279949440076
brain_tumor_kaggle,mobilenetv2_100,nleep_score,-0.6984524115113305
brain_tumor_kaggle,mobilenetv2_100,gbc_score,-1.198812920069181
brain_tumor_kaggle,mobilenetv2_100,reg_hscore_score,2.5514910483944933
brain_tumor_kaggle,mobilenetv2_100,hscore_score,2.685391101835235
brain_tumor_kaggle,mobilenetv2_100,logme_score,-0.00825719741814259
brain_tumor_kaggle,mobilenetv2_050,nce_score,-1.0492233156423307
brain_tumor_kaggle,mobilenetv2_050,leep_score,-1.192279731198991
brain_tumor_kaggle,mobilenetv2_050,nleep_score,-0.6662998121049515
brain_tumor_kaggle,mobilenetv2_050,gbc_score,-1.645305121473058
brain_tumor_kaggle,mobilenetv2_050,reg_hscore_score,2.5678996214992704
brain_tumor_kaggle,mobilenetv2_050,hscore_score,2.698187039204698
brain_tumor_kaggle,mobilenetv2_050,logme_score,-0.00928027091929724
brain_tumor_kaggle,resnet18,nce_score,-1.1133784521580852
brain_tumor_kaggle,resnet18,leep_score,-1.1810759962172672
brain_tumor_kaggle,resnet18,nleep_score,-0.7228306636966597
brain_tumor_kaggle,resnet18,gbc_score,-1.5846290676209538
brain_tumor_kaggle,resnet18,reg_hscore_score,2.21615520631253
brain_tumor_kaggle,resnet18,hscore_score,2.2796667788149687
brain_tumor_kaggle,resnet18,logme_score,-0.0980159381038537
brain_tumor_kaggle,resnet34,nce_score,-1.0719624157633072
brain_tumor_kaggle,resnet34,leep_score,-1.1995864780727423
brain_tumor_kaggle,resnet34,nleep_score,-0.8066968003212207
brain_tumor_kaggle,resnet34,gbc_score,-2.0952464461655023
brain_tumor_kaggle,resnet34,reg_hscore_score,2.205923512759411
brain_tumor_kaggle,resnet34,hscore_score,2.261928927473905
brain_tumor_kaggle,resnet34,logme_score,-0.11387659141691564
brain_tumor_kaggle,efficientnet_b0,nce_score,-1.1769339483026158
brain_tumor_kaggle,efficientnet_b0,leep_score,-1.2202863423705508
brain_tumor_kaggle,efficientnet_b0,nleep_score,-0.7414636663000634
brain_tumor_kaggle,efficientnet_b0,gbc_score,-1.7223741864874695
brain_tumor_kaggle,efficientnet_b0,reg_hscore_score,2.632440884376829
brain_tumor_kaggle,efficientnet_b0,hscore_score,2.740300698035956
brain_tumor_kaggle,efficientnet_b0,logme_score,0.025394076235113992
brain_tumor_kaggle,resnet50,nce_score,-1.067490609927266
brain_tumor_kaggle,resnet50,leep_score,-1.1406366333979354
brain_tumor_kaggle,resnet50,nleep_score,-0.7129646063506454
brain_tumor_kaggle,resnet50,gbc_score,-1.6283329328686325
brain_tumor_kaggle,resnet50,reg_hscore_score,2.663294241418524
brain_tumor_kaggle,resnet50,hscore_score,2.9126749708891944
brain_tumor_kaggle,resnet50,logme_score,-0.052543523259402855
brain_tumor_kaggle,vit_small_patch16_224,nce_score,-1.2361972525653606
brain_tumor_kaggle,vit_small_patch16_224,leep_score,-1.2545064977400977
brain_tumor_kaggle,vit_small_patch16_224,nleep_score,-0.7737700161232229
brain_tumor_kaggle,vit_small_patch16_224,gbc_score,-1.2848235354602755
brain_tumor_kaggle,vit_small_patch16_224,reg_hscore_score,2.2723909639906568
brain_tumor_kaggle,vit_small_patch16_224,hscore_score,4.250230913981795
brain_tumor_kaggle,vit_small_patch16_224,logme_score,-0.031057885652938228
